label,text
Sci/Tech,"Web-apps are the legacy apps of the future.   Back in the days of stone knives and bearskins applications were  things that were written in cretinous languages like COBOL that  ran on wierd 71 bit architectures and used messed up file formats like  JCL and VSAM files or whatever.  What's a 'Data Division'?  Some whiny  80s band from Manchester?      Of course today we are so much  smarter.  If you look at the evolution, from ML, to branched languages  to structured programming to OOP, and from 3270 applications, to PC  apps to client server to web apps, you can clearly see how the  applications programmer transformed himself from knuckle dragging  simian to homo sapiens. That's the stereotype, right?    We have a name for all that old stuff, a pejorative name:  'legacy'.1   I'm here to tell you that the web application is the new  legacy.  "
Sci/Tech,The IPod's New Trick: Photo Show The iPod Photo looks and feels exactly like the existing iPod -- except it can display your photos on a bright screen. Should you buy it?
Sci/Tech,Mercent to help Guess sell on Amazon E-commerce Web services specialist is helping retailers take the guesswork out of setting up shop on Amazon.
Sports,"Turnovers cost Bengals in tough loss To beat the defending Super Bowl champion New England Patriots anywhere, let alone at Gillette Stadium, it takes a spotless effort."
Business,Hardie feels boycott pain ASBESTOS-RELATED boycotts of James Hardie products have forced the controversial building products maker to slash its profit forecast.
Sci/Tech,UM scientist helping explore Saturn moon MISSOULA -- A University of Montana physics professor will be helping scientists explore one of the largest moons in the solar system next week.
World,"Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and polymers unit of Bayer Corp., plans to move one of its factories from Texas to eastern China's Shandong province, state media reported Wednesday."
Sports,"Team as we know it is history The news comes fast and furious. Pedro Martinez goes to Tampa to visit George Steinbrenner. Theo Epstein and John Henry go to Florida for their turn with Pedro. Carl Pavano comes to Boston to visit Curt Schilling. Jason Varitek says he's not a goner. Derek Lowe is a goner, but he says he wishes it could be different. Orlando Cabrera ..."
World,Israeli parliament set for historic vote on Gaza pullout JERUSALEM : The Israeli parliament is set for an historic vote on Prime Minister Ariel Sharon #39;s hotly contested plan to withdraw from the Gaza Strip after 37 years of occupation.
Business,"Tough Quarter for Circuit City Circuit City (CC:NYSE - news - research) Monday said same-store sales fell 4.3 in the third-quarter, attributing the decline to decreased promotions as well as weaker sales of music and movie software and wireless products."
Sports,Federer crushes Hewitt to win US Open Swiss maestro Roger Federer has produced a devastating display of tennis to crush Lleyton Hewitt in a one-sided US Open final at Flushing Meadows.
Business,Vodafone 'OKs Verizon Sprint bid' US telecoms firm Verizon is reported to have won the backing of mobile partner Vodafone for a bid for US rival Sprint.
Sci/Tech,"Molecule May Be Key to Nicotine Addiction New animal research indicates that a single molecule may be linked to nicotine dependence, the Associated Press reported Nov. 4. For the study, researchers in California worked with a single gene to genetically "
World,UN cuts Cyprus peacekeepers The UN Security Council agrees to reduce by a third its peacekeepers on the divided island of Cyprus.
World,"Killing of Filmmaker Yields Indictments in Netherlands Description: Dutch authorities have indicted seven people in murder of a provocative filmmaker. Theo Van Gogh made films critical of Islamic violence against women and insulted Christians, Jews and others."
Business,Twinkies maker in crisis There #39;s an old saying in the business world when a sale seems all but assured: It was as easy as selling Hostess Twinkies. That may no longer be true.
Sci/Tech,"Sun God Gets Burned (The Motley Fool) The Motley Fool - In Greek mythology, Apollo was the god of the sun. But yesterday, for-profit educator Apollo Group (Nasdaq: APOL - News) more resembled another figure from Greek lore -- Icarus, the young lad who made wings of wax and feathers, flew too close to the sun, and plunged to his death when the wax melted."
Sports,"Pacers #39; Foster Activated From Injured List Indianapolis, IN -- Indiana Pacers center Jeff Foster was activated from the injured list Tuesday. He had missed the first 17 games of the season after undergoing hip surgery in October."
Business,"UPDATE 1-Potlatch to sell \$457.5 mln in assets to Ainsworth Forest products company Potlatch Corp. (PCH.N: Quote, Profile, Research) said on Wednesday it agreed to sell certain plants and assets to Canada-based Ainsworth Lumber Co."
World,BBC reporters' log BBC correspondents record events in the Middle East and their thoughts as the funeral of the Palestinian leader Yasser Arafat takes place.
Business,"US Fed set to serve up another small rate hike Federal Reserve officials are expected to nudge interest rates up on Tuesday for a fifth time this year, another small step in a campaign to gradually lift borrowing costs before inflation rears its head."
Sci/Tech,"IBM, AMD develop new use of strained silicon IBM and Advanced Micro Devices(AMD) have jointly developed a new method for implementing strained silicon technology on both positive and negative transistors, the companies are expected to announce Monday."
Business,FT gets Collins Stewart claim struck out The Financial Times today won its action to strike out a record 230.5m libel damages claim from City brokers Collins Stewart that could have closed down the pink paper.
Sports,McLeish hails duo at heart of Gers #39; derby resurgence RANGERS manager Alex McLeish has hailed Alex Rae and Dado Prso as the pillars of strength who have helped turn around the clubs derby-day fortunes.
Sports,"No Urban renewal for fading Notre Dame NEW YORK - When Notre Dame fired Tyrone Willingham earlier this week, there was a strong feeling among certain influential Board of Trustees members that the university had to move immediately or risk losing coveted Utah coach Urban Meyer to another school "
Business,Unocal to Settle Myanmar Lawsuits Unocal Corp. (UCL) has agreed to settle two closely watched lawsuits accusing the US oil giant of turning a blind eye to human rights abuses that occurred during the 
World,"Bush Twins Host Pre-Convention Party (AP) AP - Barbara and Jenna Bush, the president's 22-year-old twin daughters, arrived like rock 'n' roll stars at a Republican convention party Sunday, complete with red carpet, cameras and paparazzi shouting for a smile."
World,Bahamas put on hurricane warning The Bahamas and Florida are readying themselves for the latest savage hurricane to hit the region.
Business,"Online Search Universe Is Expanding To get an idea of how hot Web search is, go talk to Raul Valdes-Perez, a Carnegie Mellon University professor who is leading a search technology start-up called Vivisimo Inc."
World,"Cricket: England players' dismay England's players claim to have been used as ""political pawns"" over the Zimbabwe tour crisis."
Sports,Rams Offensive Line Strong in Debut (AP) AP - A makeshift offensive line came together at just the right time for the St. Louis Rams.
World,"Iran not plotting Shiite  #39;crescent LONDON, Dec 11 (IranMania) - Iraqi Vice-President Ibrahim al-Jaafari refused to believe in remarks published Friday that Iran was attempting to influence Iraqi polls with the aim of creating a  quot;crescent quot; dominated by Shiites in the region."
Sci/Tech,"More on the INDUCE Act \\""Copyright officials recommended on Thursday that U.S. law be amended so that\companies that rely on copyright infringement to make a profit can be held\liable for their actions.""\\Which of course applies only to US companies.  Kazaa should be free and clear.\\...\\Should have supplied a link.  I'm a BAD blogger!\\"
Sports,"Robinhos Mom Comes Home Safe The kidnapped mother of Santos starlet Robinho has been returned to her family in good health, allowing the teenage forward to breath a huge sigh of relief."
Sci/Tech,"Mozilla: The next Internet Explorer? At the Office of Information Technology computing cluster in Perkins Library, junior Alexandra Oliveira was among the many students browsing the Internet."
Sports,"Cubs Cut Loose Alou, Grudzielanek  CHICAGO (Sports Network) - The Chicago Cubs Thursday  declined to pick up the 2005 options on outfielder Moises Alou  and second baseman Mark Grudzielanek, making the two veterans  free agents."
Business,"Ottawa Says Time to Stop Protecting Air Canada The Canadian government, in a radical shift, said on Friday it was time to stop protecting national carrier Air Canada as it mulled whether to lift foreign ownership restrictions on the country #39;s airlines."
Sci/Tech,"SynXis to Be Bought for \$40 Million In buying the McLean firm, Sabre would get 6,000 small and medium-size hotels as customers, as well as the technology they use to track inventory, book guests online and connect to Internet reservation services, including Sabre's Travelocity.&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;"
Sports,"Suzuki singles into history SEATTLE - Chasing a nearly forgotten ghost of the game, Ichiro Suzuki broke one of baseball #39;s oldest records Friday night, smoking a single up the middle for his 258th hit of the year and breaking George Sisler #39;s record for the most hits in a season "
World,"Pardon request draws Chechens #39; ire MOSCOW - Amid rising ethnic tensions in the North Caucasus, thousands on Tuesday took to the streets of Grozny, the Chechen capital, to protest the proposed pardon of a Russian army colonel who murdered a young Chechen woman."
